Reference, Value, Footprint, Datasheet, Part Number
JP1,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06,
JP4,CONN_01X10,Pin_Headers:Pin_Header_Straight_1x10,
JP5,CONN_01X10,Pin_Headers:Pin_Header_Straight_1x10,
U11,SPX3819,TO_SOT_Packages_SMD:SOT-23-5,http://www.mouser.com/ds/2/146/SPX3819_DS_R200_082312-17072.pdf,ERJ-3GEYJ103V
R3,10K,Resistors_SMD:R_0603,ERJ-3GEYJ103V,ERJ-3GEYJ103V
MBR120-1,ZENER,Diodes_SMD:SOD-123,MBR120VLSFT1G,MBR120VLSFT1G
C3,10uf,Capacitors_SMD:C_0805,http://www.mouser.com/ds/2/400/lcc_commercial_general_en-837201.pdf,VJ0805G106KXQTW1BC
C2,12pF,Resistors_SMD:R_0603,GRM0335C1H120GA01D,GRM0335C1H120GA01D
C4,4.7 uF,Capacitors_SMD:C_0805,C0603X5R1C472K030BA,C0603X5R1C472K030BA
R7,1M,Resistors_SMD:R_0603,ERJ-3GEYJ105V,ERJ-3GEYJ105V
R9,10k,Resistors_SMD:R_0603,ERJ-3GEYJ103V,ERJ-3GEYJ103V
R10,10K,Resistors_SMD:R_0603,ERJ-3GEYJ103V,ERJ-3GEYJ103V
U2,OPA344,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,http://www.mouser.com/ds/2/609/OP275-879536.pdf,OPA344NA/3K
P1,USB_OTG,Connect:USB_Micro-B,http://www.mouser.com/ds/2/123/690-005-299-143-262410.pdf,10118194-0001LF
R1,1K,Resistors_SMD:R_0603,ERJ-3EKF1001V,ERJ-3EKF1001V
SW2,SW_PUSH,Buttons_Switches_SMD:SW_SPST_KMR2,http://www.mouser.com/ds/2/60/KMR2_9aug12-25127.pdf,KMR211NG LFS
R8,1K,Resistors_SMD:R_0603,ERJ-3EKF1001V,ERJ-3EKF1001V
D4,LED,LEDs:LED_0805,LS Q976-NR-1,LS Q976-NR-1
R12,10K,Resistors_SMD:R_0603,ERJ-3GEYJ103V,ERJ-3GEYJ103V
R11,2.2K,Resistors_SMD:R_0603,ERJ-3GEYJ222V,ERJ-3GEYJ222V
U3,CMC-5044PF-A,esp12e:Electret,http://www.mouser.com/ds/2/670/cmc-5044pf-a-515902.pdf,CMC-5044PF-A
U1,ESP-WROOM-02,garage-opener:ESP-WROOM-02,http://espressif.com/en/products/hardware/esp-wroom-02/resources,ESP-WROOM-02
R5,10K,Resistors_SMD:R_0603,ERJ-3GEYJ103V,ERJ-3GEYJ103V
Q2,BSS84LT1G,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/BSS84LT1-D-105913.pdf,BSS84LT1G
R6,1K,Resistors_SMD:R_0603,ERJ-3EKF1001V,ERJ-3EKF1001V
Q1,2N7002L,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.com/ds/2/308/2N7002L-D-105484.pdf,2N7002L
D1,LED,LEDs:LED_0805,LS Q976-NR-1,LS Q976-NR-1
C8,4.7uF,Capacitors_SMD:C_0805,VJ0805G475KXYTW1BC,VJ0805G475KXYTW1BC
R13,1K,Resistors_SMD:R_0603,ERJ-3EKF1001V,ERJ-3EKF1001V
FB1,BLM18PG330SN1D,Resistors_SMD:R_0603,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-us,BLM18PG330SN1D
U4,FT230XS,Housings_SSOP:SSOP-16_3.9x4.9mm_Pitch0.635mm,http://www.mouser.com/ds/2/163/DS_FT230X-5395.pdf,FT230XS
R14,1k,Resistors_SMD:R_0603,ERJ-3EKF1001V,ERJ-3EKF1001V
R15,1k,Resistors_SMD:R_0603,ERJ-3EKF1001V,ERJ-3EKF1001V
R16,1k,Resistors_SMD:R_0603,ERJ-3EKF1001V,ERJ-3EKF1001V
R17,1k,Resistors_SMD:R_0603,ERJ-3EKF1001V,ERJ-3EKF1001V
D2,LED,LEDs:LED_0805,LS Q976-NR-1,LS Q976-NR-1
D3,LED,LEDs:LED_0805,LS Q976-NR-1,LS Q976-NR-1
D5,LED,LEDs:LED_0805,LS Q976-NR-1,LS Q976-NR-1
R2,27R,Resistors_SMD:R_0603,ERJ-3GEYJ270V,ERJ-3GEYJ270V
R4,27R,Resistors_SMD:R_0603,ERJ-3GEYJ270V,ERJ-3GEYJ270V
C6,47pf,Capacitors_SMD:C_0603,VJ0603A470JXACW1BC,VJ0603A470JXACW1BC
C5,47pf,Capacitors_SMD:C_0603,VJ0603A470JXACW1BC,VJ0603A470JXACW1BC
U6,Si7055-A20-IM,Housings_DFN_QFN:DFN-6-1EP_3x3mm_Pitch0.95mm,http://www.mouser.com/ds/2/368/Si7050-1-3-4-5-A20-907443.pdf,Si7055-A20-IM
R19,2.2K,Resistors_SMD:R_0603,ERJ-3GEYJ222V,ERJ-3GEYJ222V
R18,2.2K,Resistors_SMD:R_0603,ERJ-3GEYJ222V,ERJ-3GEYJ222V
U5,TSL2581FN,Housings_DFN_QFN:DFN-6-1EP_2x2mm_Pitch0.65mm,http://www.mouser.com/ds/2/588/TSL2581TSL2583-519228.pdf,TSL2581FN
R20,1K,Resistors_SMD:R_0603,ERJ-3EKF1001V,ERJ-3EKF1001V
R21,1K,Resistors_SMD:R_0603,ERJ-3EKF1001V,ERJ-3EKF1001V
C1,4.7uf,Capacitors_SMD:C_0805,VJ0805G475KXYTW1BC,VJ0805G475KXYTW1BC
C9,47pf,Capacitors_SMD:C_0603,VJ0603A470JXACW1BC,VJ0603A470JXACW1BC
C7,47pf,Capacitors_SMD:C_0603,VJ0603A470JXACW1BC,VJ0603A470JXACW1BC
